"","run_accession","submission_accession","study_abstract","study_description"
"575","SRR3132348","SRA342712","Dysbiotic colonization of the preterm infant gut microbiota may have lifelong effects on host health. The normal progression of colonization of preterm infants is a patterned, yet chaotic, process, and thought to be chiefly driven by host factors. While preterm infants almost universally receive early and often repeated and/or prolonged intravenous antibiotic therapy, it remains unclear if and how specific antibiotics alter the developmental progression of the gut microbiota in this population. By analyzing 401 fecal samples from 84 longitudinally-sampled preterm infants, we demonstrate that meropenem, cefotaxime, and ticarcillin-clavulanate significantly reduce species richness during their administration, and significantly enrich or deplete specific bacterial species and antibiotic resistance (AR) genes. In contrast, vancomycin and gentamicin, the antibiotics most commonly administered to preterm infants, have non-uniform effects on species richness. We show this response is predictable with 85% accuracy based on the relative abundance of only two bacterial species and two AR genes before treatment. To more fully investigate the role of the gut-associated resistome in response to specific antibiotics, we performed functional metagenomic selections for resistance to 16 clinically relevant antibiotics from a set of 21 preterm infantsâ€™ gut microbiota. Of the 794 AR genes identified, 79% had not previously been classified as providing any resistance phenotype. Combined with deep shotgun sequencing of all 401 fecal samples, we find that multidrug resistant Escherichia, Klebsiella, and Enterobacter species, which are commonly associated with nosocomial infections, dominate the preterm infant gut microbiota. We show that AR genes that are enriched following specific antibiotic treatments are generally unique to the specific treatment and highly correlated (p<0.001) with the abundance of a single species. The most notable exception includes ticarcillin-clavulanate and ampicillin, both of which enrich a large number of overlapping AR genes, and are highly correlated with Klebsiella pneumoniae species in the preterm infant gut microbiota. In addition to AR genes relevant to specific antibiotics likely providing a protective function, we show that all antibiotic treatments also result in widespread collateral microbiome impact through enrichment of AR genes with no known direct activity against the specific antibiotic treatment.",NA
"576","SRR7058472","SRA694676",NA,NA
"577","SRR5056863","SRA498975","This project takes advantage of challenge studies with an important human pathogen, Vibrio cholera, the etiological agent of cholera, which causes severe diarrhea in developed countries. The goal of this study is to understand the dynamic interactions between the host, pathogen and microbiota and how these interactions play a role in determining the pathogen population in the host, the development of an immune response, and the diversity and ecology of the microbiota. The project uses a combination of genomic, transcriptomic and metagenomic technologies together with human challenge studies to generate new insights into the interaction of host, pathogen, and microbiota.",NA
"578","SRR6659478","SRA654526",NA,NA
"579","SRR7524172","SRA740133",NA,NA
"580","SRR4101296","SRA458525","fresh bagged spinach spiked with STEC",NA
"581","SRR6659419","SRA654526",NA,NA
"582","SRR1461913","SRA146236","C.diff FMT",NA
"583","SRR3726368","SRA436733","Simultaneous longitudinal metagenomic sequencing of the mouth, skin, and gut microbiomes of two premature infants during the first month of life",NA
"584","SRR5253632","SRA537985",NA,NA
"585","SRR5935982","SRA599569","The main Inflammatory Bowel Disease (IBD) Multi''omics Database (IBDMDB) study includes multiâ€™omics measurements from over 100 subjects, sampled biweekly over up to a year in both adult and pediatric patients with IBD (Crohnâ€™s disease and ulcerative colitis), along with non-IBD controls. Data types include fecal metagenomes, metatranscriptomes, metabolomes, and proteomes, as well as host genetics, intestinal biopsy transcriptomes, epigenetics, and 16S amplicon profiles. Subjectsâ€™ medical histories and demographics are collected at baseline and medication, diet, and disease activity profiled longitudinally.",NA
"586","ERR1915472","ERA872065",NA,NA
"587","SRR1491693","SRA146236","C.diff FMT",NA
"588","SRR7524163","SRA740133",NA,NA
"589","SRR7524174","SRA740133",NA,NA
"590","SRR4435956","SRA486095","We sought to investigate genomic events following FMT in immunocompromised patients and observe patterns of bacterial engraftment over a long-term (>1 year) period.",NA
"591","SRR6659584","SRA654526",NA,NA
"592","SRR1183643","SRA137082","This project focuses on the Amazon River-to-tropical Atlantic Ocean continuum because of both its immense scale and its apparent sensitivity to climate variability and anthropogenic forcing. The riverâ€™s effect on the ocean depends not only on the river hydrology, but what the river carries and how those components are modified during transit from their terrestrial or aquatic origins. We brought together limnologists and oceanographers in an integrated project to improve our understanding of carbon exchange between the atmosphere and this tropical river continuum, focusing on the lower reach, nearshore, and offshore tropical Atlantic, with the goal of improving predictive capabilities under differing climate change scenarios.",NA
"593","SRR6659418","SRA654526",NA,NA
"594","SRR5936226","SRA599569","The main Inflammatory Bowel Disease (IBD) Multi''omics Database (IBDMDB) study includes multiâ€™omics measurements from over 100 subjects, sampled biweekly over up to a year in both adult and pediatric patients with IBD (Crohnâ€™s disease and ulcerative colitis), along with non-IBD controls. Data types include fecal metagenomes, metatranscriptomes, metabolomes, and proteomes, as well as host genetics, intestinal biopsy transcriptomes, epigenetics, and 16S amplicon profiles. Subjectsâ€™ medical histories and demographics are collected at baseline and medication, diet, and disease activity profiled longitudinally.",NA
"595","SRR1491180","SRA146236","C.diff FMT",NA
"596","SRR5865038","SRA591455",NA,NA
"597","SRR3132286","SRA342712","Dysbiotic colonization of the preterm infant gut microbiota may have lifelong effects on host health. The normal progression of colonization of preterm infants is a patterned, yet chaotic, process, and thought to be chiefly driven by host factors. While preterm infants almost universally receive early and often repeated and/or prolonged intravenous antibiotic therapy, it remains unclear if and how specific antibiotics alter the developmental progression of the gut microbiota in this population. By analyzing 401 fecal samples from 84 longitudinally-sampled preterm infants, we demonstrate that meropenem, cefotaxime, and ticarcillin-clavulanate significantly reduce species richness during their administration, and significantly enrich or deplete specific bacterial species and antibiotic resistance (AR) genes. In contrast, vancomycin and gentamicin, the antibiotics most commonly administered to preterm infants, have non-uniform effects on species richness. We show this response is predictable with 85% accuracy based on the relative abundance of only two bacterial species and two AR genes before treatment. To more fully investigate the role of the gut-associated resistome in response to specific antibiotics, we performed functional metagenomic selections for resistance to 16 clinically relevant antibiotics from a set of 21 preterm infantsâ€™ gut microbiota. Of the 794 AR genes identified, 79% had not previously been classified as providing any resistance phenotype. Combined with deep shotgun sequencing of all 401 fecal samples, we find that multidrug resistant Escherichia, Klebsiella, and Enterobacter species, which are commonly associated with nosocomial infections, dominate the preterm infant gut microbiota. We show that AR genes that are enriched following specific antibiotic treatments are generally unique to the specific treatment and highly correlated (p<0.001) with the abundance of a single species. The most notable exception includes ticarcillin-clavulanate and ampicillin, both of which enrich a large number of overlapping AR genes, and are highly correlated with Klebsiella pneumoniae species in the preterm infant gut microbiota. In addition to AR genes relevant to specific antibiotics likely providing a protective function, we show that all antibiotic treatments also result in widespread collateral microbiome impact through enrichment of AR genes with no known direct activity against the specific antibiotic treatment.",NA
